[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 10 % 21, 17 % 21]
[1 % 3, 5 % 11, 26 % 33]
[1 % 3, 5 % 12, 3 % 4]
[1 % 3, 2 % 5, 11 % 15]
[1 % 3, 10 % 27, 19 % 27]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 10 % 33, 7 % 11]
[1 % 3, 2 % 7, 13 % 21]
[1 % 3, 11 % 18, 17 % 18]
[1 % 3, 11 % 21, 6 % 7]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 11 % 24, 19 % 24]
[1 % 3, 11 % 27, 20 % 27]
[1 % 3, 11 % 30, 7 % 10]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 4 % 5, 13 % 15]
[1 % 3, 3 % 5, 14 % 15]
[1 % 3, 4 % 7, 19 % 21]
[1 % 3, 6 % 11, 29 % 33]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 4 % 9, 7 % 9]
[1 % 3, 4 % 9, 5 % 9]
[1 % 3, 3 % 7, 16 % 21]
[1 % 3, 2 % 5, 11 % 15]
[1 % 3, 3 % 8, 17 % 24]
[1 % 3, 4 % 11, 23 % 33]
[1 % 3, 13 % 21, 20 % 21]
[1 % 3, 13 % 24, 7 % 8]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 13 % 27, 22 % 27]
[1 % 3, 13 % 30, 23 % 30]
[1 % 3, 13 % 33, 8 % 11]
[1 % 3, 7 % 11, 32 % 33]
[1 % 3, 7 % 12, 11 % 12]
[1 % 3, 14 % 27, 23 % 27]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 7 % 15, 4 % 5]
[1 % 3, 14 % 33, 25 % 33]
[1 % 3, 2 % 5, 11 % 15]
[1 % 3, 5 % 8, 23 % 24]
[1 % 3, 5 % 8, 17 % 24]
[1 % 3, 3 % 5, 14 % 15]
[1 % 3, 5 % 9, 8 % 9]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 5 % 11, 26 % 33]
[1 % 3, 3 % 7, 16 % 21]
[1 % 3, 4 % 5, 13 % 15]
[1 % 3, 16 % 27, 25 % 27]
[1 % 3, 4 % 7, 19 % 21]
[1 % 3, 8 % 15, 13 % 15]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 16 % 33, 9 % 11]
[1 % 3, 17 % 27, 26 % 27]
[1 % 3, 17 % 30, 9 % 10]
[1 % 3, 17 % 33, 28 % 33]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 3 % 5, 14 % 15]
[1 % 3, 6 % 11, 29 % 33]
[1 % 3, 19 % 30, 29 % 30]
[1 % 3, 19 % 33, 10 % 11]
[1 % 3, 4 % 5, 13 % 15]
[1 % 3, 5 % 8, 23 % 24]
[1 % 3, 5 % 8, 17 % 24]
[1 % 3, 20 % 33, 31 % 33]
[1 % 3, 4 % 7, 19 % 21]
[1 % 3, 7 % 11, 32 % 33]
[1 % 3, 3 % 5, 14 % 15]
[1 % 3, 4 % 5, 13 % 15]
[1 % 3, 4 % 5, 13 % 15]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 1 % 5, 9 % 20]
[1 % 4, 1 % 6, 5 % 12]
[1 % 4, 1 % 7, 11 % 28]
[1 % 4, 1 % 8, 3 % 8]
[1 % 4, 1 % 10, 7 % 20]
[1 % 4, 1 % 12, 1 % 3]
[1 % 4, 1 % 14, 9 % 28]
[1 % 4, 1 % 16, 5 % 16]
[1 % 4, 1 % 20, 3 % 10]
[1 % 4, 1 % 24, 7 % 24]
[1 % 4, 1 % 28, 2 % 7]
[1 % 4, 1 % 32, 9 % 32]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 2 % 5, 13 % 20]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 2 % 7, 15 % 28]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 1 % 5, 9 % 20]
[1 % 4, 1 % 6, 5 % 12]
[1 % 4, 1 % 7, 11 % 28]
[1 % 4, 1 % 8, 3 % 8]
[1 % 4, 1 % 10, 7 % 20]
[1 % 4, 1 % 12, 1 % 3]
[1 % 4, 1 % 14, 9 % 28]
[1 % 4, 1 % 16, 5 % 16]
[1 % 4, 3 % 5, 17 % 20]
[1 % 4, 3 % 5, 13 % 20]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 3 % 7, 19 % 28]
[1 % 4, 3 % 8, 5 % 8]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 3 % 10, 11 % 20]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 3 % 14, 13 % 28]
[1 % 4, 1 % 5, 9 % 20]
[1 % 4, 3 % 16, 7 % 16]
[1 % 4, 3 % 16, 5 % 16]
[1 % 4, 1 % 6, 5 % 12]
[1 % 4, 3 % 20, 2 % 5]
[1 % 4, 1 % 7, 11 % 28]
[1 % 4, 1 % 8, 3 % 8]
[1 % 4, 3 % 28, 5 % 14]
[1 % 4, 1 % 10, 7 % 20]
[1 % 4, 3 % 32, 11 % 32]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 4 % 7, 23 % 28]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 2 % 5, 13 % 20]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 2 % 7, 15 % 28]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 1 % 5, 9 % 20]
[1 % 4, 1 % 6, 5 % 12]
[1 % 4, 1 % 7, 11 % 28]
[1 % 4, 1 % 8, 3 % 8]
[1 % 4, 5 % 7, 27 % 28]
[1 % 4, 5 % 8, 7 % 8]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 5 % 12, 2 % 3]
[1 % 4, 5 % 14, 17 % 28]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 5 % 16, 9 % 16]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 5 % 24, 11 % 24]
[1 % 4, 1 % 5, 9 % 20]
[1 % 4, 5 % 28, 3 % 7]
[1 % 4, 1 % 6, 5 % 12]
[1 % 4, 5 % 32, 13 % 32]
[1 % 4, 1 % 7, 11 % 28]
[1 % 4, 6 % 7, 25 % 28]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 3 % 5, 17 % 20]
[1 % 4, 3 % 5, 13 % 20]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 3 % 7, 19 % 28]
[1 % 4, 2 % 5, 13 % 20]
[1 % 4, 3 % 8, 5 % 8]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 3 % 10, 11 % 20]
[1 % 4, 2 % 7, 15 % 28]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 3 % 14, 13 % 28]
[1 % 4, 1 % 5, 9 % 20]
[1 % 4, 3 % 16, 7 % 16]
[1 % 4, 3 % 16, 5 % 16]
[1 % 4, 7 % 10, 19 % 20]
[1 % 4, 7 % 12, 5 % 6]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 7 % 16, 11 % 16]
[1 % 4, 7 % 20, 3 % 5]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 7 % 24, 13 % 24]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 7 % 32, 15 % 32]
[1 % 4, 1 % 5, 9 % 20]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 4 % 7, 23 % 28]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 2 % 5, 13 % 20]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 2 % 7, 15 % 28]
[1 % 4, 1 % 4, 1 % 2]
[1 % 4, 9 % 14, 25 % 28]
[1 % 4, 3 % 5, 17 % 20]
[1 % 4, 3 % 5, 13 % 20]
[1 % 4, 9 % 16, 13 % 16]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 9 % 20, 7 % 10]
[1 % 4, 3 % 7, 19 % 28]
[1 % 4, 3 % 8, 5 % 8]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 9 % 28, 4 % 7]
[1 % 4, 3 % 10, 11 % 20]
[1 % 4, 9 % 32, 17 % 32]
[1 % 4, 5 % 7, 27 % 28]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 5 % 8, 7 % 8]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 5 % 12, 2 % 3]
[1 % 4, 2 % 5, 13 % 20]
[1 % 4, 5 % 14, 17 % 28]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 5 % 16, 9 % 16]
[1 % 4, 2 % 7, 15 % 28]
[1 % 4, 11 % 16, 15 % 16]
[1 % 4, 11 % 20, 4 % 5]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 11 % 24, 17 % 24]
[1 % 4, 11 % 28, 9 % 14]
[1 % 4, 11 % 32, 19 % 32]
[1 % 4, 1 % 3, 7 % 12]
[1 % 4, 1 % 3, 5 % 12]
[1 % 4, 6 % 7, 25 % 28]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 3 % 5, 17 % 20]
[1 % 4, 3 % 5, 13 % 20]
[1 % 4, 4 % 7, 23 % 28]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 3 % 7, 19 % 28]
[1 % 4, 2 % 5, 13 % 20]
[1 % 4, 3 % 8, 5 % 8]
[1 % 4, 13 % 20, 9 % 10]
[1 % 4, 13 % 24, 19 % 24]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 13 % 28, 5 % 7]
[1 % 4, 13 % 32, 21 % 32]
[1 % 4, 7 % 10, 19 % 20]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 7 % 12, 5 % 6]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 7 % 16, 11 % 16]
[1 % 4, 2 % 5, 13 % 20]
[1 % 4, 5 % 7, 27 % 28]
[1 % 4, 5 % 8, 7 % 8]
[1 % 4, 3 % 5, 17 % 20]
[1 % 4, 3 % 5, 13 % 20]
[1 % 4, 15 % 28, 11 % 14]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 15 % 32, 23 % 32]
[1 % 4, 15 % 32, 17 % 32]
[1 % 4, 3 % 7, 19 % 28]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 4 % 7, 23 % 28]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 17 % 24, 23 % 24]
[1 % 4, 17 % 28, 6 % 7]
[1 % 4, 17 % 32, 25 % 32]
[1 % 4, 1 % 2, 3 % 4]
[1 % 4, 6 % 7, 25 % 28]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 9 % 14, 25 % 28]
[1 % 4, 3 % 5, 17 % 20]
[1 % 4, 3 % 5, 13 % 20]
[1 % 4, 9 % 16, 13 % 16]
[1 % 4, 19 % 28, 13 % 14]
[1 % 4, 19 % 32, 27 % 32]
[1 % 4, 5 % 7, 27 % 28]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 5 % 8, 7 % 8]
[1 % 4, 4 % 7, 23 % 28]
[1 % 4, 7 % 10, 19 % 20]
[1 % 4, 21 % 32, 29 % 32]
[1 % 4, 3 % 5, 17 % 20]
[1 % 4, 3 % 5, 13 % 20]
[1 % 4, 11 % 16, 15 % 16]
[1 % 4, 2 % 3, 11 % 12]
[1 % 4, 23 % 32, 31 % 32]
[1 % 4, 6 % 7, 25 % 28]
[1 % 4, 5 % 7, 27 % 28]
[1 % 4, 6 % 7, 25 % 28]
[1 % 5, 1 % 2, 7 % 10]
[1 % 5, 1 % 3, 8 % 15]
